Date,Cash Value,Holding Value,Total,AMZN,MSFT,NVDA,TSLA,GOOGL,META,AAPL
2013-04-18,27.60360866785055,9458.496534585953,9486.100143253803,0,0,1288,645,10,56,386
2013-04-19,27.60360866785055,9486.226980924606,9513.830589592457,0,0,1288,645,10,56,386
2013-04-22,31.003608763217983,9710.720078706741,9741.72368746996,0,0,1288,644,10,56,386
2013-04-23,34.39694172143942,9858.502391576767,9892.899333298206,0,0,1288,643,10,56,386
2013-04-24,45.14094215631491,9836.551634311676,9881.69257646799,0,0,1256,643,10,56,386
2013-04-25,59.93594247102743,9933.335296034813,9993.27123850584,0,0,1212,643,10,56,386
2013-04-26,59.93594247102743,10056.651495575905,10116.587438046932,0,0,1212,643,10,56,386
2013-04-29,54.93410855531698,10416.789198040962,10471.72330659628,1,0,1212,641,10,56,386
2013-04-30,54.93410855531698,10602.601256489754,10657.53536504507,1,0,1212,641,10,56,386
2013-05-01,54.93410855531698,10500.157795667648,10555.091904222965,1,0,1212,641,10,56,386
2013-05-02,54.93410855531698,10715.112753152847,10770.046861708164,1,0,1212,641,10,56,386
2013-05-03,76.16183644533163,10743.400458216667,10819.562294661999,1,0,1212,641,9,56,386
2013-05-06,97.75868397951132,11042.087919354439,11139.84660333395,1,0,1212,641,8,56,386
2013-05-07,97.75868397951132,10799.022334337234,10896.781018316746,1,0,1212,641,8,56,386
2013-05-08,119.5514772534371,10884.320307374,11003.871784627438,1,0,1212,641,7,56,386
2013-05-09,133.4814761281014,11350.09663939476,11483.578115522861,1,0,1212,638,7,56,386
2013-05-10,205.97980833053595,11539.668459534645,11745.648267865181,1,0,1071,634,7,56,386
2013-05-13,231.10514020919805,12006.658017098904,12237.763157308102,1,0,1071,630,7,56,386
2013-05-14,252.91847181320196,11664.442969709635,11917.361441522837,1,0,1071,626,7,56,386
2013-05-15,367.9084582328797,11395.020189583302,11762.928647816181,1,0,1071,626,2,56,386
2013-05-16,404.9084601402283,11717.438546478748,12122.347006618977,1,0,1071,620,2,56,386
2013-05-17,404.9084601402283,11681.942030787468,12086.850490927696,1,0,1071,620,2,56,386
2013-05-20,404.9084601402283,11722.380847275257,12127.289307415485,1,0,1071,620,2,56,386
2013-05-21,404.9084601402283,11576.693464905024,11981.601925045252,1,0,1071,620,2,56,386
2013-05-22,404.9084601402283,11542.428437829018,11947.336897969246,1,0,1071,620,2,56,386
2013-05-23,404.9084601402283,11780.407726585865,12185.316186726093,1,0,1071,620,2,56,386
2013-05-24,306.74845647811895,12054.055987000465,12360.804443478584,1,0,1071,620,2,60,386
2013-05-28,306.74845647811895,12538.384721070528,12845.133177548647,1,0,1071,620,2,60,386
2013-05-29,234.35845899581915,12371.186561644077,12605.545020639896,1,0,1071,620,2,63,386
2013-05-30,234.35845899581915,12558.577664673328,12792.936123669147,1,0,1071,620,2,63,386
2013-05-31,234.35845899581915,12219.145010590553,12453.503469586372,1,0,1071,620,2,63,386
2013-06-03,234.35845899581915,11986.768532186747,12221.126991182566,1,0,1071,620,2,63,386
2013-06-04,234.35845899581915,12039.590045571327,12273.948504567146,1,0,1071,620,2,63,386
2013-06-05,234.35845899581915,11956.33967551589,12190.69813451171,1,0,1071,620,2,63,386
2013-06-06,234.35845899581915,11953.604549229145,12187.963008224964,1,0,1071,620,2,63,386
2013-06-07,248.1924586296082,12206.519478231668,12454.711936861277,0,0,1071,620,2,63,386
2013-06-10,248.1924586296082,12149.78863054514,12397.981089174747,0,0,1071,620,2,63,386
2013-06-11,248.1924586296082,11874.714489877224,12122.906948506832,0,0,1071,620,2,63,386
2013-06-12,248.1924586296082,11914.895821273327,12163.088279902935,0,0,1071,620,2,63,386
2013-06-13,248.1924586296082,11991.766910612583,12239.959369242191,0,0,1071,620,2,63,386
